;Z19.1;Mean; Outer Edge Length; Surface;Variance;F'i re;fl' re;fk' re;fi' re;F'i li;fl' li;fk' li;fi' li
Z19.1;1.0;-0.37723037098438233;-0.24888451702375528;-0.31180245030667264;0.3772316383526009;0.4287755530656603;0.09798749283995577;0.38757801222341887;0.4287755530656603;0.4679949431653181;0.10094579359466227;0.4435066072867105;0.4679949431653181
Mean;-0.37723037098438233;1.0;0.4733176966952207;0.5688338934706365;-0.9999999976491736;-0.5489229949061757;0.15070208666994134;-0.5313485445882289;-0.5489229949061757;-0.7344996293476179;0.1080444024623131;-0.7366738487048535;-0.7344996293476179
 Outer Edge Length;-0.24888451702375528;0.4733176966952207;1.0;0.8565880748872371;-0.47330853206755097;-0.41762724973615234;0.14138683226771123;-0.40943896837156774;-0.41762724973615234;-0.5840526663100661;0.09852672561278025;-0.5659011337609839;-0.5840526663100661
 Surface;-0.31180245030667264;0.5688338934706365;0.8565880748872371;1.0;-0.5688286227685291;-0.47792907350987485;0.08595222644853391;-0.4670372628631355;-0.47792907350987485;-0.7061754366463195;0.012836251671737402;-0.6855257909259691;-0.7061754366463195
Variance;0.3772316383526009;-0.9999999976491736;-0.47330853206755097;-0.5688286227685291;1.0;0.5489069068804898;-0.15071343747087987;0.5313330842671046;0.5489069068804898;0.7344796695377512;-0.10805323909082999;0.7366543353400922;0.7344796695377512
F'i re;0.4287755530656603;-0.5489229949061757;-0.41762724973615234;-0.47792907350987485;0.5489069068804898;1.0;0.14614233386547962;0.9916725040879573;1.0;0.6927216652354214;0.18206376217660525;0.677119343815264;0.6927216652354214
fl' re;0.09798749283995577;0.15070208666994134;0.14138683226771123;0.08595222644853391;-0.15071343747087987;0.14614233386547962;1.0;0.12074879648422479;0.14614233386548303;0.14037649531152163;0.8778713040628393;0.12344777795918967;0.14037649531152163
fk' re;0.38757801222341887;-0.5313485445882289;-0.40943896837156774;-0.4670372628631355;0.5313330842671046;0.9916725040879573;0.12074879648422479;1.0;0.9916725040879566;0.6618123765956746;0.15469793783563082;0.6467119682263578;0.6618123765956746
fi' re;0.4287755530656603;-0.5489229949061757;-0.41762724973615234;-0.47792907350987485;0.5489069068804898;1.0;0.14614233386548303;0.9916725040879566;1.0;0.6927216652354214;0.18206376217660525;0.677119343815264;0.6927216652354214
F'i li;0.4679949431653181;-0.7344996293476179;-0.5840526663100661;-0.7061754366463195;0.7344796695377512;0.6927216652354214;0.14037649531152163;0.6618123765956746;0.6927216652354214;1.0;0.20298169088595883;0.9886568374803288;1.0
fl' li;0.10094579359466227;0.1080444024623131;0.09852672561278025;0.012836251671737402;-0.10805323909082999;0.18206376217660525;0.8778713040628393;0.15469793783563082;0.18206376217660525;0.20298169088595883;1.0;0.1836517573363844;0.20298169088594586
fk' li;0.4435066072867105;-0.7366738487048535;-0.5659011337609839;-0.6855257909259691;0.7366543353400922;0.677119343815264;0.12344777795918967;0.6467119682263578;0.677119343815264;0.9886568374803288;0.1836517573363844;1.0;0.9886568374803264
fi' li;0.4679949431653181;-0.7344996293476179;-0.5840526663100661;-0.7061754366463195;0.7344796695377512;0.6927216652354214;0.14037649531152163;0.6618123765956746;0.6927216652354214;1.0;0.20298169088594586;0.9886568374803264;1.0