Filename,Variance
+01_2D.txt,2532849157.2458735
+02_2D.txt,2532849146.090803
+03_2D.txt,2532849211.900204
+04_2D.txt,2532849173.8351493
+05_2D.txt,2532849168.9040055
+06_2D.txt,2532849120.3034997
+07_2D.txt,2532849181.1584563
+08_2D.txt,2532849185.685897
+09_2D.txt,2532849119.6067123
+10_2D.txt,2532849083.247064
+11_2D.txt,2532849091.3760242
+12_2D.txt,2532849085.6610236
+13_2D.txt,2532849085.539986
+14_2D.txt,2532849063.0173583
+15_2D.txt,2532849055.2890725
+16_2D.txt,2532849123.782618
+17_2D.txt,2532849076.7439666
+18_2D.txt,2532849074.0979877
+19_2D.txt,2532849150.97596
+20_2D.txt,2532849118.9023433
+21_2D.txt,2532849103.2095423
+22_2D.txt,2532849087.416214
+23_2D.txt,2532849110.2110343
+24_2D.txt,2532849117.9829164
+25_2D.txt,2532849146.5898237
+26_2D.txt,2532849231.5200877
+27_2D.txt,2532849184.8610597
+28_2D.txt,2532849120.4323573
+29_2D.txt,2532849141.1124372
+30_2D.txt,2532849086.8406143
+31_2D.txt,2532849019.669405
+32_2D.txt,2532849115.0505624
+33_2D.txt,2532849109.980407
+34_2D.txt,2532849120.20953
+35_2D.txt,2532849179.389951
+36_2D.txt,2532849171.0221844
+37_2D.txt,2532849195.960287
+38_2D.txt,2532849180.7315726
+39_2D.txt,2532849144.7336893
+40_2D.txt,2532849125.150623
+41_2D.txt,2532849139.6527257
+42_2D.txt,2532849184.4838877
+43_2D.txt,2532849184.804279
+44_2D.txt,2532849210.433864
+45_2D.txt,2532849168.714151
+46_2D.txt,2532849144.6573367
+47_2D.txt,2532849167.3605027
+48_2D.txt,2532849131.779211
+49_2D.txt,2532849107.8605537
+50_2D.txt,2532849117.2337594
+51_2D.txt,2532849115.209362
+52_2D.txt,2532849109.0258856
+53_2D.txt,2532849198.144932
+54_2D.txt,2532849139.0045896
+55_2D.txt,2532849157.210567
+56_2D.txt,2532849214.2810736
+57_2D.txt,2532849197.3635764
+58_2D.txt,2532849204.3232083
+59_2D.txt,2532849232.863231
+60_2D.txt,2532849200.6988215
+61_2D.txt,2532849201.1529956
+62_2D.txt,2532849184.383397
+63_2D.txt,2532849197.0854836
+64_2D.txt,2532849233.799053
+65_2D.txt,2532849178.1457157
+66_2D.txt,2532849174.424007
+67_2D.txt,2532849187.065842
+68_2D.txt,2532849192.3077474
+69_2D.txt,2532849198.398801
+70_2D.txt,2532849163.1825905
+71_2D.txt,2532849211.8742766
+72_2D.txt,2532849153.756336
+73_2D.txt,2532849159.8143296
+74_2D.txt,2532849124.8082895
+75_2D.txt,2532849120.9816914
+76_2D.txt,2532849136.68442
+77_2D.txt,2532849172.4906025
+78_2D.txt,2532849152.6508284
+79_2D.txt,2532849131.8314824
+80_2D.txt,2532849150.1100273
+81_2D.txt,2532849156.035348
+82_2D.txt,2532849173.1874814
+84_2D.txt,2532849194.6142836
+85_2D.txt,2532849189.3055553
+86_2D.txt,2532849115.280538
+87_2D.txt,2532849188.5632668
+88_2D.txt,2532849192.107185
+89_2D.txt,2532849155.217539
+90_2D.txt,2532849195.67826
+91_2D.txt,2532849161.466368
+92_2D.txt,2532849202.199723
+93_2D.txt,2532849189.8081603
+94_2D.txt,2532849134.683446
+95_2D.txt,2532849163.7965226
+96_2D.txt,2532849139.38498
+97_2D.txt,2532849164.8122716
+98_2D.txt,2532849151.417021
+99_2D.txt,2532849127.3645883
+100_2D.txt,2532849106.6196637